feature,coef
premium_micro_bps,2.980576940345608
premium_mid_bps,-2.7850846491657264
xlk_micro_gap_bps,1.1486410594559366
xlk_spread_bps,0.2484856975680779
signed_flow_5,-0.22441395461735256
kyle_lambda_proxy,0.21704672154536242
realized_vol_bps,0.21225191041015334
basket_imbalance,0.16744014869512094
xlk_ret_lag5_bps,0.16571509960336941
xlk_ret_lag1_bps,0.11317175955488082
imbalance_diff,-0.07900244653410513
roll_premium_bps,0.0783527850504368
signed_flow_30,-0.03821652402642427
xlk_ret_lag15_bps,0.03205895468220871
intercept,0.019664706626960467
xlk_imbalance,-0.014301090853253515
